OID_;Join_Count;TARGET_FID;JOIN_FID;Site;Lat;Long;Source;Elevation;D_Treeline;Original_D_Temp;Min_DT;Max_DT;Mean_DT;mat_tstat;mat_sig;mat_sig_val;mat_npts;beyer_dt;chelsa_dt;ecoclimate_dt;paleopgem_dt;worldclim30s_dt;worldclim25m_dt;ggc_dt;MapName;Level_01;Level_02;Level_03;Countries;GMTED2010
87;1;87;48;Lake Hordorli Lake;-2,53;140,55;Farrera et al. (1999);780;;-1 to -2;-1;-2;-1,5;;;;;-1,1941299;-1,2000008;-1,7043743;-0,4080009;1,9;-1,7;-3,1730003;Malay Archipelago;Eurasia;Southeast Asia;Malay Archipelago;Brunei, Indonesia, Malaysia, Philippines, Papua New Guinea, Timor-Leste;727
88;0;88;-1;unknown;29;-99;Bartlein et al. (2011);;;;-5,3571;-4,6429;-5;-14,0017;-1;-5;1;-2,0904608;0,583334;-3,5346975;1,7169991;-3,3999996;-3,5;0,3269997;;;;;;181
89;0;89;-1;Laguna Quexil (80-1);16,91;-89,81;Farrera et al. (1999);110;;-6,5 to-8;-6,5;-8;-7,25;;;;;4,4194832;4,8875008;3,7999554;5,0499992;3,75;3,75;2,5769997;;;;;;134
90;0;90;-1;unknown;27;-81;Bartlein et al. (2011);;;;-3,1001;-1,0099;-2,055;-1,9663;0;0;1;-2,3016723;0,2466676;-2,6141513;-0,6280006;-2,1449998;-2,1449998;-2,6180003;;;;;;6
91;0;91;-1;unknown;21;19;Bartlein et al. (2011);;;;-7,7265;-5,0735;-6,4;-4,8247;-1;-6,4;1;2,3066801;2,129166;1,275144;1,2909998;1,4;1,3000001;1,7269997;;;;;;965
92;0;92;-1;Sankhu;27,68;85,4;Farrera et al. (1999);1500;;-6 to-8;-6;-8;-7;;;;;2,2968836;3,6791677;3,0669546;3,282999;3,4000001;3,4000001;2,3269997;;;;;;1311
93;1;93;53;Daganba;26,5;105,7;Farrera et al. (1999);1335;;-6;-6;-6;-6;;;;;2,6391258;3,9041672;2,5298576;3,6170006;3,2;2,5999999;1,3269997;South China Mountains;Eurasia;East Asia;South China Mountains;China, Hong Kong, Taiwan, Vietnam;1459
94;1;94;53;Bihen evin Bihengyin;25,8;105,4;Farrera et al. (1999);1250;;-5 min;-5;-5;-5;;;;;1,9072475;3,3291664;1,4928846;3,0669994;1,0999999;1,5;0,3269997;South China Mountains;Eurasia;East Asia;South China Mountains;China, Hong Kong, Taiwan, Vietnam;758
95;0;95;-1;Mangyang (N);22;100,5;Farrera et al. (1999);1200;;-1,5 to -3;-1,5;-3;-2,25;;;;;-1,626544;-0,4250011;-1,3056021;1,0330009;-1,3499999;-1,25;-2,4230003;;;;;;1202
96;1;96;52;Nonggong Lake (TH3);22;100;Farrera et al. (1999);1170;;0;0;0;0;;;;;-3,9031181;-2,666666;-3,589344;-1,1749992;-3,4000001;-3,5;-4,6730003;Indochinese Peninsula;Eurasia;Southeast Asia;Indochinese Peninsula;Bangladesh, China, India, Cambodia, Laos, Myanmar, Malaysia, Thailand, Vietnam;1045
