OID_,Join_Count,TARGET_FID,JOIN_FID,Site,Lat,Long,Source,Elevation,D_Treeline,Original_D_Temp,Min_DT,Max_DT,Mean_DT,mat_tstat,mat_sig,mat_sig_val,mat_npts,beyer_dt,chelsa_dt,ecoclimate_dt,paleopgem_dt,worldclim30s_dt,worldclim25m_dt,ggc_dt,in_mr,MapName,Level_01,Level_02,Level_03,Countries,GMTED2010
46,0,46,-1,Ambra Ambr,-5.85,144.3,Farrera et al. (1999),1540,,-2 min,-2,-2,-2,,,,,-3.7490845,-2.7750006,-3.5448551,-1.8910007,-3.7,-3.7,-4.6730003,0,,,,,,1637
47,0,47,-1,Haepugua (6),-5.85,142.95,Farrera et al. (1999),1650,,"-3,4 to -6",-3.4,-6,-4.7,,,,,-3.4054012,-3.1750002,-3.4921207,-1.9500008,-3.5999999,-3.5,-4.6730003,0,,,,,,1667
48,1,48,48,Aluaipugua,-5.97,143.15,Farrera et al. (1999),2750,,"-5,8 to -7,3",-5.8,-7.3,-6.55,,,,,-3.6994371,-3.5458326,-3.5141315,-1.8920002,-3.9000001,-3.5999999,-4.6730003,1,Malay Archipelago,Eurasia,Southeast Asia,Malay Archipelago,"Brunei, Indonesia, Malaysia, Philippines, Papua New Guinea, Timor-Leste",2718
49,0,49,-1,Lynch's Crater (A),-17.37,145.7,Farrera et al. (1999),760,,-3±2,-1,-5,-3,,,,,-3.4276714,-2.7041664,-3.9167633,-3.1000004,-3.9000001,-3.8,-4.6730003,0,,,,,,820
50,0,50,-1,Strenekoff's Crater,-17.33,145.55,Farrera et al. (1999),740,,-2 to-4,-2,-4,-3,,,,,-3.4276714,-2.6749992,-3.9167633,-3.1000004,-3.7,-3.8,-4.6730003,0,,,,,,744
51,1,51,48,Kosipe,-8.47,147.2,Farrera et al. (1999),1960,-1100 to -1600,-6 to -5,-5,-6,-5.5,,,,,-2.8970909,-2.7749996,-4.0042744,-1.8249989,-3,-4,-4.6730003,1,Malay Archipelago,Eurasia,Southeast Asia,Malay Archipelago,"Brunei, Indonesia, Malaysia, Philippines, Papua New Guinea, Timor-Leste",2098
52,1,52,61,Wainisavulevu,-17.68,178,Farrera et al. (1999),780,,-4 to-3,-3,-4,-3.5,,,,,-2.0131817,-2.4916668,-2.5796452,-2.0669994,-3,-2.5,-4.6730003,1,Fiji,Oceania,Melanesia,Fiji,Fiji,824
53,1,53,130,Vicente Lachner,9.71,-83.93,Farrera et al. (1999),2400,-650,-3.6,-3.6,-3.6,-3.6,,,,,-4.1420851,-2.5708342,-3.4005432,-2.9499989,-4,-3.5,-4.6730003,1,Chorotega Highlands*,North America,Cordillera Centroamericana,Chorotega Highlands*,"Costa Rica, Nicaragua, Panama",2349
54,1,54,130,La Chonta (2 & 4),9.68,-83.95,Farrera et al. (1999),2310,-1500,-8,-8,-8,-8,,,,,-4.1420851,-2.541666,-3.4005432,-2.9499989,-5,-3.5,-4.6730003,1,Chorotega Highlands*,North America,Cordillera Centroamericana,Chorotega Highlands*,"Costa Rica, Nicaragua, Panama",2258
55,1,55,130,La Chonta (1),9.68,-83.95,Farrera et al. (1999),2310,-1000 to -1400,-7 to-8,-7,-8,-7.5,,,,,-4.1420851,-2.541666,-3.4005432,-2.9499989,-5,-3.5,-4.6730003,1,Chorotega Highlands*,North America,Cordillera Centroamericana,Chorotega Highlands*,"Costa Rica, Nicaragua, Panama",2258
