OID_,Site,Lat,Long,Source,Elevation,D_Treeline,Original_D_Temp,Min_DT,Max_DT,Mean_DT,mat_tstat,mat_sig,mat_sig_val,mat_npts,beyer_diff_min,beyer_diff_max,beyer_diff_mean,chelsa_diff_min,chelsa_diff_max,chelsa_diff_mean,ecoclimate_diff_min,ecoclimate_diff_max,ecoclimate_diff_mean,paleopgem_diff_min,paleopgem_diff_max,paleopgem_diff_mean,worldclim30s_diff_min,worldclim30s_diff_max,worldclim30s_diff_mean,worldclim25m_diff_min,worldclim25m_diff_max,worldclim25m_diff_mean,ggc_diff_min,ggc_diff_max,ggc_diff_mean,in_mr,MapName,Level_01,Level_02,Level_03,Countries,GMTED2010
37,DPDR-II),-6.98,107.73,Farrera et al. (1999),662,,-3 to-2,-2,-3,-2.5,,,,,-0.4310665,0.5689335,0.0689335,-0.416666,0.583334,0.083334,-2.0166321,-1.0166321,-1.5166321,-0.1409988,0.8590012,0.3590012,-1.5999999,-0.5999999,-1.0999999,-1.5999999,-0.5999999,-1.0999999,-2.6730003,-1.6730003,-2.1730003,0,,,,,,663
38,Lembang Swamp,-6.73,107.62,Farrera et al. (1999),1200,,"-3,6 to-7,2",-3.6,-7.2,-5.4,,,,,1.1689335,4.7689335,2.9689335,0.5041653,4.1041653,2.3041653,-0.4166321,3.1833679,1.3833679,1.4590012,5.0590012,3.2590012,-3.3000001,0.2999999,-1.5000001,-0.2,3.4,1.6,-1.0730003,2.5269997,0.7269997,1,Malay Archipelago,Eurasia,Southeast Asia,Malay Archipelago,"Brunei, Indonesia, Malaysia, Philippines, Papua New Guinea, Timor-Leste",1262
39,Situ Bayongbong,-7.18,107.28,Farrera et al. (1999),1300,,-4 min,-4,-4,-4,,,,,1.2716274,1.2716274,1.2716274,1.3708324,1.3708324,1.3708324,0.5724468,0.5724468,0.5724468,1.7169991,1.7169991,1.7169991,2.1,2.1,2.1,0.8,0.8,0.8,-0.6730003,-0.6730003,-0.6730003,1,Malay Archipelago,Eurasia,Southeast Asia,Malay Archipelago,"Brunei, Indonesia, Malaysia, Philippines, Papua New Guinea, Timor-Leste",1127
40,Draepi,-5.65,114.18,Farrera et al. (1999),1585,,"-2,5 min",-2.5,-2.5,-2.5,,,,,,,,0.0041676,0.0041676,0.0041676,-2.2509594,-2.2509594,-2.2509594,0.6669998,0.6669998,0.6669998,,,,,,,-2.1730003,-2.1730003,-2.1730003,0,,,,,,0
41,Telefomin TOMON,-5.18,141.63,Farrera et al. (1999),1280,,-4 to -5,-4,-5,-4.5,,,,,0.8964157,1.8964157,1.3964157,0.3875008,1.3875008,0.8875008,0.5142899,1.5142899,1.0142899,2.0410004,3.0410004,2.5410004,0.4000001,1.4000001,0.9000001,0.4000001,1.4000001,0.9000001,-0.6730003,0.3269997,-0.1730003,1,Malay Archipelago,Eurasia,Southeast Asia,Malay Archipelago,"Brunei, Indonesia, Malaysia, Philippines, Papua New Guinea, Timor-Leste",1832
42,Sirunki ,-5.4,143.42,Farrera et al. (1999),2550,-1200,"-5,5 to -2",-2,-5.5,-3.75,,,,,-1.1927052,2.3072948,0.5572948,-1.0249996,2.4750004,0.7250004,-1.4646149,2.0353851,0.2853851,0.1079998,3.6079998,1.8579998,-1,2.5,0.75,-1.5,2,0.25,-2.6729994,0.8270006,-0.9229994,1,Malay Archipelago,Eurasia,Southeast Asia,Malay Archipelago,"Brunei, Indonesia, Malaysia, Philippines, Papua New Guinea, Timor-Leste",2097
43,Tugupugua,-5.7,142.62,Farrera et al. (1999),2350,,"-5,3 to -7,8",-5.3,-7.8,-6.55,,,,,1.8945988,4.3945988,3.1445988,1.5791672,4.0791672,2.8291672,1.8078793,4.3078793,3.0578793,3.3499992,5.8499992,4.5999992,1.7000001,4.2000001,2.9500001,1.8,4.3,3.05,0.6270006,3.1270006,1.8770006,1,Malay Archipelago,Eurasia,Southeast Asia,Malay Archipelago,"Brunei, Indonesia, Malaysia, Philippines, Papua New Guinea, Timor-Leste",2572
44,Komanimanbuno,-5.8,145.07,Farrera et al. (1999),2740,-1200,-5 to -8,-5,-8,-6.5,,,,,1.7726421,4.7726421,3.2726421,1.5541673,4.5541673,3.0541673,1.4368534,4.4368534,2.9368534,3.1660004,6.1660004,4.6660004,4.6,7.6,6.1,1.4000001,4.4000001,2.9000001,0.3270001,3.3270001,1.8270001,1,Malay Archipelago,Eurasia,Southeast Asia,Malay Archipelago,"Brunei, Indonesia, Malaysia, Philippines, Papua New Guinea, Timor-Leste",3377
45,Kuk,-5.82,144.31,Farrera et al. (1999),1550,,"-2,5 min",-2.5,-2.5,-2.5,,,,,-1.2490845,-1.2490845,-1.2490845,-0.2833328,-0.2833328,-0.2833328,-1.0448551,-1.0448551,-1.0448551,0.6089993,0.6089993,0.6089993,-1.2,-1.2,-1.2,-1.0999999,-1.0999999,-1.0999999,-2.1730003,-2.1730003,-2.1730003,0,,,,,,1635
46,Ambra Ambr,-5.85,144.3,Farrera et al. (1999),1540,,-2 min,-2,-2,-2,,,,,-1.7490845,-1.7490845,-1.7490845,-0.7750006,-0.7750006,-0.7750006,-1.5448551,-1.5448551,-1.5448551,0.1089993,0.1089993,0.1089993,-1.7,-1.7,-1.7,-1.7,-1.7,-1.7,-2.6730003,-2.6730003,-2.6730003,0,,,,,,1637
