OID_,Site,Lat,Long,Source,Elevation,D_Treeline,Original_D_Temp,Min_DT,Max_DT,Mean_DT,mat_tstat,mat_sig,mat_sig_val,mat_npts,beyer_diff_min,beyer_diff_max,beyer_diff_mean,chelsa_diff_min,chelsa_diff_max,chelsa_diff_mean,ecoclimate_diff_min,ecoclimate_diff_max,ecoclimate_diff_mean,paleopgem_diff_min,paleopgem_diff_max,paleopgem_diff_mean,worldclim30s_diff_min,worldclim30s_diff_max,worldclim30s_diff_mean,worldclim25m_diff_min,worldclim25m_diff_max,worldclim25m_diff_mean,ggc_diff_min,ggc_diff_max,ggc_diff_mean,in_mr,MapName,Level_01,Level_02,Level_03,Countries,GMTED2010
126,unknown,41,25,Bartlein et al. (2011),,,,-7.549,-2.651,-5.1,-2.0825,-1,-5.1,1,3.2443363,-1.6536637,0.7953363,4.2823336,-0.6156664,1.8333336,1.6131737,-3.2848263,-0.8358263,3.5409996,-1.3570004,1.0919996,1.4490001,-3.4489999,-0.9999999,1.549,-3.349,-0.9,2.8760006,-2.0219994,0.4270006,0,,,,,,39
127,unknown,37,29,Bartlein et al. (2011),,,,-3.0367,0.6367,-1.2,-0.6533,0,0,1,-1.1825907,-4.8559907,-3.0192907,0.4492004,-3.2241996,-1.3874996,-1.8941252,-5.5675252,-3.7308252,-1.4882996,-5.1616996,-3.3249996,-1.5632999,-5.2366999,-3.3999999,-1.7633002,-5.4367002,-3.6000002,-1.6362994,-5.3096994,-3.4729994,1,Anatolian / Armenian Highlands,Eurasia,Western Asia,Anatolian / Armenian Highlands,"Armenia, Azerbaijan, Georgia, Greece, Iran, Iraq, Turkey",721
128,unknown,39,31,Bartlein et al. (2011),,,,-5.3306,-2.2694,-3.8,-2.4827,-1,-3.8,1,1.1505401,-1.9106599,-0.3800599,2.0931003,-0.9680997,0.5625003,0.199094,-2.862106,-1.331506,0.4895994,-2.5716006,-1.0410006,0.1306002,-2.9305998,-1.3999998,-0.0694001,-3.1306001,-1.6000001,0.6576001,-2.4035999,-0.8729999,1,Anatolian / Armenian Highlands,Eurasia,Western Asia,Anatolian / Armenian Highlands,"Armenia, Azerbaijan, Georgia, Greece, Iran, Iraq, Turkey",1092
129,unknown,47,31,Bartlein et al. (2011),,,,-10.1022,-7.6312,-8.8667,-7.1768,-1,-8.8667,3,4.0269503,1.5559503,2.7914503,5.6605329,3.1895329,4.4250329,0.3687062,-2.1022938,-0.8667938,5.5771999,3.1061999,4.3416999,0.4022002,-2.0687998,-0.8332998,0.3021998,-2.1688002,-0.9333002,5.4292001,2.9582001,4.1937001,0,,,,,,0
130,unknown,35,35,Bartlein et al. (2011),,,,-12.8602,-9.3398,-11.1,-6.3061,-1,-11.1,1,,,,9.4893656,5.9689656,7.7291656,8.7357274,5.2153274,6.9755274,7.8431998,4.3227998,6.0829998,,,,,,,8.1871997,4.6667997,6.4269997,0,,,,,,0
131,unknown,47,39,Bartlein et al. (2011),,,,-15.1985,-11.3015,-13.25,-6.8002,-1,-13.25,2,9.4000457,5.5030457,7.4515457,11.2526673,7.3556673,9.3041673,6.6017784,2.7047784,4.6532784,9.7235001,5.8265001,7.7750001,,,,,,,10.5255001,6.6285001,8.5770001,0,,,,,,0
132,unknown,41,41,Bartlein et al. (2011),,,,-9.5978,-7.5022,-8.55,-8.1596,-1,-8.55,2,5.8625953,3.7669953,4.8147953,3.5811336,1.4855336,2.5333336,4.6841605,2.5885605,3.6363605,1.8478,-0.2478,0.8,6.3978,4.3022,5.35,4.7977998,2.7021998,3.7499998,4.9248001,2.8292001,3.8770001,1,Anatolian / Armenian Highlands,Eurasia,Western Asia,Anatolian / Armenian Highlands,"Armenia, Azerbaijan, Georgia, Greece, Iran, Iraq, Turkey",945
133,unknown,43,41,Bartlein et al. (2011),,,,-9.2682,-7.4818,-8.375,-9.376,-1,-8.375,4,5.7137938,3.9273938,4.8205938,4.5056992,2.7192992,3.6124992,4.2470189,2.4606189,3.3538189,2.1262003,0.3398003,1.2330003,4.3681999,2.5817999,3.4749999,4.4681998,2.6817998,3.5749998,4.5952006,2.8088006,3.7020006,0,,,,,,6
134,unknown,41,45,Bartlein et al. (2011),,,,-12.7784,-9.4216,-11.1,-6.6133,-1,-11.1,2,8.8303433,5.4735433,7.1519433,6.3617335,3.0049335,4.6833335,8.7873724,5.4305724,7.1089724,3.8693996,0.5125996,2.1909996,9.2784,5.9216,7.6,8.6784001,5.3216001,7.0000001,8.1054001,4.7486001,6.4270001,1,Caucasus Mountains,Eurasia,Western Asia,Caucasus Mountains,"Armenia, Azerbaijan, Georgia, Russia, Turkey, Caspian Sea",1398
135,unknown,35,47,Bartlein et al. (2011),,,,-8.0755,-5.5245,-6.8,-5.3312,-1,-6.8,1,2.9980283,0.4470283,1.7225283,2.1213326,-0.4296674,0.8458326,2.1445327,-0.4064673,0.8690327,0.8924994,-1.6585006,-0.3830006,1.5755,-0.9755,0.3,1.7754998,-0.7755002,0.4999998,3.4025006,0.8515006,2.1270006,1,Iranian Plateau,Eurasia,Western Asia,Iranian Plateau,"Afghanistan, Azerbaijan, Iran, Iraq, Pakistan, Turkmenistan, Turkey, Caspian Sea",1660
136,unknown,39,73,Bartlein et al. (2011),,,,-8.5153,-4.4847,-6.5,-3.2253,-1,-6.5,1,2.8695047,-1.1610953,0.8542047,1.348633,-2.681967,-0.666667,3.6838123,-0.3467877,1.6685123,-0.2097004,-4.2403004,-2.2250004,2.3153002,-1.7152998,0.3000002,3.3153002,-0.7152998,1.3000002,3.8423006,-0.1882994,1.8270006,1,Pamir Mountains,Eurasia,Central Asia,Pamir Mountains,"Afghanistan, China, Kyrgyzstan, Pakistan, Tajikistan",5161
137,unknown,41,75,Bartlein et al. (2011),,,,1.7589,2.8411,2.3,4.2502,1,2.3,2,-6.478598,-7.560798,-7.019698,-8.3089002,-9.3911002,-8.8500002,-6.4996198,-7.5818198,-7.0407198,-10.1419004,-11.2241004,-10.6830004,-6.8588999,-7.9410999,-7.3999999,-6.7589,-7.8411,-7.3,-6.4318999,-7.5140999,-6.9729999,1,Tian Shan,Eurasia,Central Asia,Tian Shan,"Afghanistan, China, Kazakhstan, Kyrgyzstan, Tajikistan, Turkmenistan, Uzbekistan",3054
138,Chabyer (ZK91-2),31.3,84.1,Farrera et al. (1999),4421,,-6,-6,-6,-6,,,,,1.2340527,1.2340527,1.2340527,2.3208332,2.3208332,2.3208332,0.9048061,0.9048061,0.9048061,0.6999998,0.6999998,0.6999998,0.5,0.5,0.5,0.8000002,0.8000002,0.8000002,1.3270001,1.3270001,1.3270001,1,Tibetan Plateau,Eurasia,Central Asia,Tibetan Plateau,"China, India, Myanmar, Pakistan",4548
139,unknown,37,101,Bartlein et al. (2011),,,,-6.2806,-3.2194,-4.75,-3.1034,-1,-4.75,1,1.3949641,-1.6662359,-0.1356359,1.8889336,-1.1722664,0.3583336,1.8023962,-1.2588038,0.2717962,-0.5193997,-3.5805997,-2.0499997,1.7806,-1.2806,0.25,1.7806,-1.2806,0.25,1.6076001,-1.4535999,0.0770001,0,,,,,,3100
140,unknown,47,111,Bartlein et al. (2011),,,,-9.1771,-6.7229,-7.95,-6.4784,-1,-7.95,2,2.7113898,0.2571898,1.4842898,3.0521,0.5979,1.825,2.6963294,0.2421294,1.4692294,0.6520994,-1.8021006,-0.5750006,2.6771,0.2229,1.45,2.5771001,0.1229001,1.3500001,4.5041001,2.0499001,3.2770001,0,,,,,,1272
141,Suzhou (59),31.3,120.6,Farrera et al. (1999),2,,-7.5,-7.5,-7.5,-7.5,,,,,2.7973013,2.7973013,2.7973013,4.3041658,4.3041658,4.3041658,2.3585615,2.3585615,2.3585615,0.8659992,0.8659992,0.8659992,2.3000002,2.3000002,2.3000002,2.3000002,2.3000002,2.3000002,2.8269997,2.8269997,2.8269997,0,,,,,,8
142,Wuhu (Zk13),31.3,118.3,Farrera et al. (1999),9.6,,-7 (-9 max),-7,-9,-8,,,,,2.6671782,4.6671782,3.6671782,3.0541668,5.0541668,4.0541668,2.4259968,4.4259968,3.4259968,0.3999996,2.3999996,1.3999996,2.3000002,4.3000002,3.3000002,2.1999998,4.1999998,3.1999998,2.3269997,4.3269997,3.3269997,0,,,,,,1
143,unknown,35,135,Bartlein et al. (2011),,,,-11.2362,-8.9638,-10.1,-8.8889,-1,-10.1,2,5.5492598,3.2768598,4.4130598,7.9195334,5.6471334,6.7833334,3.7787944,1.5063944,2.6425944,3.5442001,1.2718001,2.4080001,4.5362002,2.2638002,3.4000002,4.0362002,1.7638002,2.9000002,6.5631997,4.2907997,5.4269997,0,,,,,,88
144,unknown,65,-147,Bartlein et al. (2011),,,,-4.5283,-2.2559,-3.3921,-2.9853,-1,-3.3921,2,2.6785123,0.4061123,1.5423123,8.569966,6.297566,7.433766,-2.7923906,-5.0647906,-3.9285906,1.8283002,-0.4440998,0.6921002,-1.7717002,-4.0441002,-2.9079002,-2.2717002,-4.5441002,-3.4079002,-0.1446999,-2.4170999,-1.2808999,1,Alaska-Yukon Ranges,North America,American Cordillera (North America),Alaska-Yukon Ranges,"Canada, Russia, United States",206
145,unknown,49,27,Bartlein et al. (2011),,,,-12.4278,-9.5056,-10.9667,-7.5057,-1,-10.9667,3,5.5841835,2.6619835,4.1230835,4.344466,1.422266,2.883366,1.7466791,-1.1755209,0.2855791,6.1368001,3.2146001,4.6757001,1.6277998,-1.2944002,0.1666998,1.7278002,-1.1943998,0.2667002,7.7548001,4.8326001,6.2937001,0,,,,,,310
146,unknown,57,37,Bartlein et al. (2011),,,,-13.8174,-10.6826,-12.25,-7.8154,-1,-12.25,2,2.6018181,-0.5329819,1.0344181,-0.3367672,-3.4715672,-1.9041672,-2.6022587,-5.7370587,-4.1696587,4.5344,1.3996,2.967,-2.3826008,-5.5174008,-3.9500008,-2.2826004,-5.4174004,-3.8500004,9.1444001,6.0096001,7.5770001,0,,,,,,139
147,unknown,57,39,Bartlein et al. (2011),,,,-13.8497,-10.1503,-12,-6.4877,-1,-12,2,3.3171168,-0.3822832,1.4674168,0.2122002,-3.4871998,-1.6374998,-1.7799902,-5.4793902,-3.6296902,5.5667,1.8673,3.717,-1.3502998,-5.0496998,-3.1999998,-1.4503002,-5.1497002,-3.3000002,9.1767001,5.4773001,7.3270001,0,,,,,,127
148,unknown,59,39,Bartlein et al. (2011),,,,-11.7298,-7.6702,-9.7,-4.7787,-1,-9.7,2,-0.9232437,-4.9828437,-2.9530437,-1.7452004,-5.8048004,-3.7750004,-6.0410759,-10.1006759,-8.0708759,1.5217998,-2.5378002,-0.5080002,-5.7702,-9.8298,-7.8,-5.7702,-9.8298,-7.8,7.0568001,2.9972001,5.0270001,0,,,,,,162
149,unknown,57,41,Bartlein et al. (2011),,,,-9.0408,-4.9592,-7,-3.43,-1,-7,1,-1.3852721,-5.4668721,-3.4260721,-4.1425324,-8.2241324,-6.1833324,-5.6586648,-9.7402648,-7.6994648,1.5658001,-2.5157999,-0.4749999,-5.6591998,-9.7407998,-7.6999998,-5.6591998,-9.7407998,-7.6999998,4.3678001,0.2862001,2.3270001,0,,,,,,110
150,unknown,55,57,Bartlein et al. (2011),,,,-5.2196,-2.9304,-4.075,-3.5603,-1,-4.075,4,-2.7079246,-4.9971246,-3.8525246,-2.7345669,-5.0237669,-3.8791669,-3.4381663,-5.7273663,-4.5827663,-0.3394,-2.6286,-1.484,-3.2804,-5.5696,-4.425,-3.3804004,-5.6696004,-4.5250004,0.5466001,-1.7425999,-0.5979999,0,,,,,,183
151,unknown,57,63,Bartlein et al. (2011),,,,-8.2298,-5.0702,-6.65,-4.2093,-1,-6.65,2,-1.0707018,-4.2303018,-2.6505018,-0.6285336,-3.7881336,-2.2083336,-1.6106083,-4.7702083,-3.1904083,2.7377999,-0.4218001,1.1579999,-1.4701998,-4.6297998,-3.0499998,-1.4701998,-4.6297998,-3.0499998,3.5568001,0.3972001,1.9770001,0,,,,,,122
152,unknown,65,65,Bartlein et al. (2011),,,,-8.3819,-4.8181,-6.6,-3.7039,-1,-6.6,3,-4.4997681,-8.0635681,-6.2816681,-6.4097651,-9.9735651,-8.1916651,-9.0832432,-12.6470432,-10.8651432,-0.5340994,-4.0978994,-2.3159994,-9.0180996,-12.5818996,-10.7999996,-9.0180996,-12.5818996,-10.7999996,3.7089006,0.1451006,1.9270006,0,,,,,,8
153,unknown,65,67,Bartlein et al. (2011),,,,-8.1004,-5.6996,-6.9,-5.7482,-1,-6.9,3,-4.82022,-7.22102,-6.02062,-6.4954338,-8.8962338,-7.6958338,-9.1490888,-11.5498888,-10.3494888,-0.8825998,-3.2833998,-2.0829998,-9.0996008,-11.5004008,-10.3000008,-9.0996008,-11.5004008,-10.3000008,3.4273997,1.0265997,2.2269997,0,,,,,,60
154,unknown,57,69,Bartlein et al. (2011),,,,-10.533,-6.967,-8.75,-4.9074,-1,-8.75,2,0.9483233,-2.6176767,-0.8346767,0.762166,-2.803834,-1.020834,0.6391096,-2.9268904,-1.1438904,4.1080003,0.5420003,2.3250003,0.533,-3.033,-1.25,0.533,-3.033,-1.25,5.8600001,2.2940001,4.0770001,0,,,,,,73
155,unknown,59,69,Bartlein et al. (2011),,,,-9.3331,-7.3069,-8.32,-8.212,-1,-8.32,5,-0.7954591,-2.8216591,-1.8085591,-0.5127328,-2.5389328,-1.5258328,-2.2146915,-4.2408915,-3.2277915,2.3671004,0.3409004,1.3540004,-2.0668996,-4.0930996,-3.0799996,-2.0668996,-4.0930996,-3.0799996,4.6601001,2.6339001,3.6470001,0,,,,,,42
156,unknown,57,71,Bartlein et al. (2011),,,,-10.2636,-7.6364,-8.95,-6.8133,-1,-8.95,4,0.6503788,-1.9768212,-0.6632212,0.1011006,-2.5260994,-1.2124994,0.4746748,-2.1525252,-0.8389252,3.4466001,0.8194001,2.1330001,0.5636002,-2.0635998,-0.7499998,0.5636002,-2.0635998,-0.7499998,5.5906001,2.9634001,4.2770001,0,,,,,,95
157,unknown,53,83,Bartlein et al. (2011),,,,-12.9143,-6.4857,-9.7,-3.0178,-1,-9.7,1,4.4200039,-2.0085961,1.2057039,4.3226328,-2.1059672,1.1083328,5.5603352,-0.8682648,2.3460352,5.2392998,-1.1893002,2.0249998,5.5142999,-0.9143001,2.2999999,5.6142998,-0.8143002,2.3999998,8.2413001,1.8127001,5.0270001,0,,,,,,240
158,unknown,55,83,Bartlein et al. (2011),,,,-12.0408,-7.9592,-10,-4.9,-1,-10,1,3.1072234,-0.9743766,1.0664234,2.936633,-1.144967,0.895833,3.7221374,-0.3594626,1.6813374,4.0567998,-0.0248002,2.0159998,3.8408002,-0.2407998,1.8000002,3.7407998,-0.3408002,1.6999998,7.3678001,3.2862001,5.3270001,0,,,,,,128
159,unknown,59,83,Bartlein et al. (2011),,,,-10.6976,-7.7024,-9.2,-6.1433,-1,-9.2,3,0.9152838,-2.0799162,-0.5823162,1.4351002,-1.5600998,-0.0624998,-0.0952133,-3.0904133,-1.5928133,1.9135996,-1.0816004,0.4159996,-0.0023998,-2.9975998,-1.4999998,-0.0023998,-2.9975998,-1.4999998,6.0246001,3.0294001,4.5270001,0,,,,,,97
160,unknown,57,85,Bartlein et al. (2011),,,,-5.3592,-3.7158,-4.5375,-5.5223,-1,-4.5375,8,-3.8217072,-5.4651072,-4.6434072,-3.4782996,-5.1216996,-4.2999996,-3.859035,-5.502435,-4.680735,-3.0248008,-4.6682008,-3.8465008,-3.9408002,-5.5842002,-4.7625002,-3.9408002,-5.5842002,-4.7625002,0.6862001,-0.9571999,-0.1354999,0,,,,,,153
161,unknown,53,87,Bartlein et al. (2011),,,,-4.6077,-1.6923,-3.15,-2.1609,-1,-3.15,2,-2.9339355,-5.8493355,-4.3916355,-3.5672992,-6.4826992,-5.0249992,-1.9873794,-4.9027794,-3.4450794,-3.1753,-6.0907,-4.633,-2.1923002,-5.1077002,-3.6500002,-1.8923,-4.8077,-3.35,-0.0652999,-2.9806999,-1.5229999,0,,,,,,355
162,unknown,49,89,Bartlein et al. (2011),,,,-6.6809,-3.4191,-5.05,-3.0964,-1,-5.05,2,0.8354248,-2.4263752,-0.7954752,-2.048267,-5.310067,-3.679167,0.6028942,-2.6589058,-1.0280058,-1.6351,-4.8969,-3.266,0.3808998,-2.8809002,-1.2500002,0.3808998,-2.8809002,-1.2500002,2.0079001,-1.2538999,0.3770001,1,Altai-Sayan region,Eurasia,South Siberian Mountains,Altai-Sayan region,"China, Kazakhstan, Mongolia, Russia",1878
163,unknown,51,99,Bartlein et al. (2011),,,,-3.9928,-0.7072,-2.35,-1.4305,0,0,2,-1.9773786,-5.2629786,-3.6201786,-3.9738667,-7.2594667,-5.6166667,-2.1775963,-5.4631963,-3.8203963,-3.8651998,-7.1507998,-5.5079998,-2.0072,-5.2928,-3.65,-2.2071998,-5.4927998,-3.8499998,-0.6801999,-3.9657999,-2.3229999,1,Mongolian Highlands,Eurasia,South Siberian Mountains,Mongolian Highlands,"Mongolia, Russia",2135
164,unknown,69,-161,Bartlein et al. (2011),,,,1.2229,3.4953,2.3591,2.0763,1,2.3591,2,-6.2590757,-8.5314757,-7.3952757,0.6896004,-1.5827996,-0.4465996,-9.023645,-11.296045,-10.159845,-13.4558988,-15.7282988,-14.5920988,-8.1229001,-10.3953001,-9.2591001,-8.2229,-10.4953,-9.3591,-5.8958994,-8.1682994,-7.0320994,0,,,,,,319
165,unknown,67,-157,Bartlein et al. (2011),,,,-4.1465,-1.8741,-3.0103,-2.6494,-1,-3.0103,2,2.4615492,0.1891492,1.3253492,7.2964999,5.0240999,6.1602999,-1.5542017,-3.8266017,-2.6904017,-4.2954994,-6.5678994,-5.4316994,-1.0534998,-3.3258998,-2.1896998,-1.0534998,-3.3258998,-2.1896998,-0.5264994,-2.7988994,-1.6626994,1,Alaska-Yukon Ranges,North America,American Cordillera (North America),Alaska-Yukon Ranges,"Canada, Russia, United States",617
166,unknown,67,-153,Bartlein et al. (2011),,,,-5.5388,-3.2664,-4.4026,-3.8747,-1,-4.4026,2,3.4511764,1.1787764,2.3149764,9.7888,7.5164,8.6526,-1.0930703,-3.3654703,-2.2292703,-1.461199,-3.733599,-2.597399,-0.8612001,-3.1336001,-1.9974001,-1.0611999,-3.3335999,-2.1973999,0.8658001,-1.4065999,-0.2703999,1,Alaska-Yukon Ranges,North America,American Cordillera (North America),Alaska-Yukon Ranges,"Canada, Russia, United States",421
167,unknown,67,-149,Bartlein et al. (2011),,,,12.2517,14.5241,13.3879,11.7826,1,13.3879,2,-14.5047518,-16.7771518,-15.6409518,-9.7183662,-11.9907662,-10.8545662,-20.0824915,-22.3548915,-21.2186915,-17.8426996,-20.1150996,-18.9788996,-20.2517,-22.5241,-21.3879,-20.1517001,-22.4241001,-21.2879001,-16.9246994,-19.1970994,-18.0608994,1,Alaska-Yukon Ranges,North America,American Cordillera (North America),Alaska-Yukon Ranges,"Canada, Russia, United States",970
168,unknown,67,-143,Bartlein et al. (2011),,,,6.6739,9.4589,8.0664,5.7929,1,8.0664,3,-9.2103361,-11.9953361,-10.6028361,-4.353067,-7.138067,-5.745567,-15.104915,-17.889915,-16.497415,-10.5648998,-13.3498998,-11.9573998,-15.2739004,-18.0589004,-16.6664004,-15.3738998,-18.1588998,-16.7663998,-11.3468999,-14.1318999,-12.7393999,0,,,,,,195
169,unknown,69,-139,Bartlein et al. (2011),,,,-1.8431,-0.1555,-0.9993,-1.1843,0,0,3,-4.4021641,-6.0897641,-5.2459641,2.2556004,0.5680004,1.4118004,-7.143313,-8.830913,-7.987113,-2.7648998,-4.4524998,-3.6086998,-6.0569001,-7.7445001,-6.9007001,-6.0569001,-7.7445001,-6.9007001,-2.8298994,-4.5174994,-3.6736994,0,,,,,,203
170,unknown,69,19,Bartlein et al. (2011),,,,-10.6398,-4.1602,-7.4,-2.2841,-1,-7.4,1,-6.3961478,-12.8757478,-9.6359478,-1.2685338,-7.7481338,-4.5083338,-8.5896064,-15.0692064,-11.8294064,-9.1932002,-15.6728002,-12.4330002,-8.0602008,-14.5398008,-11.3000008,-8.2601996,-14.7397996,-11.4999996,5.9668001,-0.5127999,2.7270001,1,North European Highlands,Eurasia,Europe,North European Highlands,"Finland, Norway, Russia, Sweden",85
171,unknown,67,65,Bartlein et al. (2011),,,,-8.4687,-5.1979,-6.8333,-4.1783,-1,-6.8333,3,-5.3945641,-8.6653641,-7.0299641,-8.5938,-11.8646,-10.2292,-10.1564984,-13.4272984,-11.7918984,-0.9893002,-4.2601002,-2.6247002,-10.0313,-13.3021,-11.6667,-10.0313,-13.3021,-11.6667,3.7957001,0.5249001,2.1603001,0,,,,,,180
172,unknown,67,71,Bartlein et al. (2011),,,,-7.1815,-4.1519,-5.6667,-3.741,-1,-5.6667,3,-6.6961226,-9.7257226,-8.2109226,-8.8059992,-11.8355992,-10.3207992,-10.6877398,-13.7173398,-12.2025398,-2.2844996,-5.3140996,-3.7992996,-10.7184996,-13.7480996,-12.2332996,-10.7184996,-13.7480996,-12.2332996,2.5084997,-0.5211003,0.9936997,0,,,,,,21
173,unknown,69,85,Bartlein et al. (2011),,,,-6.7316,-3.735,-5.2333,-3.4929,-1,-5.2333,3,-4.9722336,-7.9688336,-6.4705336,-8.1600655,-11.1566655,-9.6583655,-8.2572878,-11.2538878,-9.7555878,-3.0853994,-6.0819994,-4.5836994,-8.1683996,-11.1649996,-9.6666996,-8.0684002,-11.0650002,-9.5667002,2.0586006,-0.9379994,0.5603006,0,,,,,,98
174,unknown,69,89,Bartlein et al. (2011),,,,-3.0052,-0.6948,-1.85,-1.6015,0,0,4,-7.4445366,-9.7549366,-8.5997366,-11.3822989,-13.6926989,-12.5374989,-10.1155542,-12.4259542,-11.2707542,-6.8857998,-9.1961998,-8.0409998,-9.6947998,-12.0051998,-10.8499998,-9.6947998,-12.0051998,-10.8499998,-1.6678003,-3.9782003,-2.8230003,0,,,,,,81
